Stkcd,Trddt,Clsprc,Dnshrtrd,Adjprcwd,Adjprcnd,Trdsta
600309,2011/11/1,14.9,11994104,355.399512,311.446205,1
600309,2011/11/2,15.19,6900340,362.316684,317.507909,1
600309,2011/11/3,15.26,12689527,363.986346,318.97108,1
600309,2011/11/4,15.28,6660561,364.463392,319.389128,1
600309,2011/11/7,15.15,6756944,361.362591,316.671812,1
600309,2011/11/8,15.16,4438973,361.601114,316.880837,1
600309,2011/11/9,15.07,11014497,359.454406,314.999618,1
600309,2011/11/10,14.69,12457853,350.390526,307.056694,1
600309,2011/11/11,14.48,5995371,345.381539,302.667184,1
600309,2011/11/14,15.36,21077033,366.371578,321.061322,1
600309,2011/11/15,15.08,14140570,359.692929,315.208642,1
600309,2011/11/16,14.71,11978308,350.867572,307.474743,1
600309,2011/11/17,14.6,7326580,348.243817,305.175476,1
600309,2011/11/18,14.01,17536514,334.170951,292.843042,1
600309,2011/11/21,13.95,8823181,332.739812,291.588896,1
600309,2011/11/22,13.8,9982452,329.161964,288.453532,1
600309,2011/11/23,13.55,12770393,323.198885,283.227924,1
600309,2011/11/24,13.57,11005073,323.675932,283.645973,1
600309,2011/11/25,13.29,12888788,316.997283,277.793293,1
600309,2011/11/28,13.42,14876359,320.098084,280.510609,1
600309,2011/11/29,13.78,13318206,328.684918,288.035483,1
600309,2011/11/30,13.24,11570844,315.804667,276.748171,1
600309,2011/12/1,13.43,20131572,320.336607,280.719633,1
600309,2011/12/2,13.13,8231066,313.180912,274.448904,1
600309,2011/12/5,13.05,5705323,311.272727,272.77671,1
600309,2011/12/6,12.96,11065409,309.126019,270.895491,1
600309,2011/12/8,12.94,10194829,308.648972,270.477442,1
600309,2011/12/9,12.25,22881181,292.190874,256.054766,1
600309,2011/12/12,12.18,7595763,290.521212,254.591596,1
600309,2011/12/13,11.73,13849667,279.78767,245.185502,1
600309,2011/12/14,11.66,7045753,278.118008,243.722332,1
600309,2011/12/15,11.81,15070964,281.695855,246.857697,1
600309,2011/12/16,12.2,13145252,290.998258,255.009644,1
600309,2011/12/19,12.64,15861887,301.493278,264.206713,1
600309,2011/12/20,12.46,6962822,297.199861,260.444276,1
600309,2011/12/21,12.46,12828996,297.199861,260.444276,1
600309,2011/12/22,12.56,9135137,299.585092,262.534519,1
600309,2011/12/23,12.7,5413451,302.924417,265.460859,1
600309,2011/12/26,12.63,5322762,301.254754,263.997689,1
600309,2011/12/27,12.46,4320292,297.199861,260.444276,1
600309,2011/12/28,12.26,5573093,292.429397,256.26379,1
600309,2011/12/29,12.46,5340860,297.199861,260.444276,1
