Stkcd,Trddt,Clsprc,Dnshrtrd,Adjprcwd,Adjprcnd,Trdsta
600028,2011/11/1,7.15,31917925,11.392986,9.151916,1
600028,2011/11/2,7.24,35100264,11.536394,9.267115,1
600028,2011/11/3,7.22,35251426,11.504526,9.241516,1
600028,2011/11/4,7.41,86874502,11.807277,9.484713,1
600028,2011/11/7,7.43,44537554,11.839145,9.510313,1
600028,2011/11/8,7.59,90025636,12.094093,9.715111,1
600028,2011/11/9,7.55,42929303,12.030356,9.663912,1
600028,2011/11/10,7.41,30593418,11.807277,9.484713,1
600028,2011/11/11,7.5,21997850,11.950685,9.599912,1
600028,2011/11/14,7.59,18179452,12.094093,9.715111,1
600028,2011/11/15,7.6,17754643,12.110027,9.727911,1
600028,2011/11/16,7.36,32924592,11.727605,9.420714,1
600028,2011/11/17,7.35,14706056,11.711671,9.407914,1
600028,2011/11/18,7.23,17940177,11.52046,9.254315,1
600028,2011/11/21,7.29,9079051,11.616066,9.331115,1
600028,2011/11/22,7.29,15533265,11.616066,9.331115,1
600028,2011/11/23,7.26,12459266,11.568263,9.292715,1
600028,2011/11/24,7.3,11314256,11.632,9.343915,1
600028,2011/11/25,7.26,17697104,11.568263,9.292715,1
600028,2011/11/28,7.24,12687941,11.536394,9.267115,1
600028,2011/11/29,7.33,13908645,11.679803,9.382314,1
600028,2011/11/30,7.1,20863540,11.313315,9.087917,1
600028,2011/12/1,7.3,31709425,11.632,9.343915,1
600028,2011/12/2,7.19,14470085,11.456723,9.203116,1
600028,2011/12/5,7.27,20800093,11.584197,9.305515,1
600028,2011/12/6,7.41,27787049,11.807277,9.484713,1
600028,2011/12/7,7.47,26361116,11.902882,9.561513,1
600028,2011/12/8,7.42,8652895,11.823211,9.497513,1
600028,2011/12/9,7.4,10083448,11.791342,9.471913,1
600028,2011/12/12,7.23,11216897,11.52046,9.254315,1
600028,2011/12/13,7.14,24207316,11.377052,9.139117,1
600028,2011/12/14,7.08,25631200,11.281446,9.062317,1
600028,2011/12/16,7.2,41432749,11.472657,9.215916,1
600028,2011/12/19,7.09,33623133,11.297381,9.075117,1
600028,2011/12/20,7.13,31510309,11.361118,9.126317,1
600028,2011/12/21,7.11,17329088,11.329249,9.100717,1
600028,2011/12/22,7.03,31614010,11.201775,8.998318,1
600028,2011/12/23,7.1,9266873,11.313315,9.087917,1
600028,2011/12/26,7.14,15957279,11.377052,9.139117,1
600028,2011/12/27,7.07,11864533,11.265512,9.049517,1
600028,2011/12/28,7.11,27565971,11.329249,9.100717,1
600028,2011/12/29,7.13,17180430,11.361118,9.126317,1
600028,2011/12/30,7.18,27298170,11.440789,9.190316,1
600028,2012/1/4,7.36,52818138,11.727605,9.420714,1
600028,2012/1/5,7.42,47888457,11.823211,9.497513,1
600028,2012/1/6,7.48,39465447,11.918816,9.574313,1
600028,2012/1/9,7.75,74396015,12.349041,9.919909,1
600028,2012/1/10,7.79,73542406,12.412778,9.971109,1
600028,2012/1/11,7.7,39298475,12.26937,9.85591,1
600028,2012/1/12,7.66,30545148,12.205633,9.80471,1
600028,2012/1/13,7.62,31027759,12.141896,9.753511,1
600028,2012/1/16,7.54,22287819,12.014422,9.651112,1
600028,2012/1/17,7.74,57861998,12.333107,9.907109,1
600028,2012/1/18,7.58,43695592,12.078159,9.702311,1
600028,2012/1/19,7.66,40746187,12.205633,9.80471,1
600028,2012/1/20,7.74,42451662,12.333107,9.907109,1
600028,2012/1/30,7.7,47473301,12.26937,9.85591,1
600028,2012/1/31,7.76,21558522,12.364975,9.932709,1
600028,2012/2/1,7.79,42775193,12.412778,9.971109,1
600028,2012/2/2,7.86,37243446,12.524318,10.060708,1
600028,2012/2/3,7.81,48543937,12.444646,9.996709,1
600028,2012/2/6,7.78,28192837,12.396844,9.958309,1
600028,2012/2/7,7.65,30492164,12.189698,9.791911,1
600028,2012/2/8,7.78,71692608,12.396844,9.958309,1
600028,2012/2/9,7.69,43981062,12.253435,9.84311,1
600028,2012/2/10,7.67,28641272,12.221567,9.81751,1
600028,2012/2/13,7.65,29577368,12.189698,9.791911,1
600028,2012/2/14,7.66,26808206,12.205633,9.80471,1
600028,2012/2/15,7.72,29300854,12.301238,9.88151,1
600028,2012/2/16,7.64,26524851,12.173764,9.779111,1
600028,2012/2/17,7.61,25322830,12.125961,9.740711,1
600028,2012/2/20,7.6,40419523,12.110027,9.727911,1
600028,2012/2/21,7.55,65818392,12.030356,9.663912,1
600028,2012/2/22,7.58,44689541,12.078159,9.702311,1
600028,2012/2/23,7.59,57674799,12.094093,9.715111,1
600028,2012/2/24,7.63,79082131,12.15783,9.766311,1
600028,2012/2/27,7.69,105054560,12.253435,9.84311,1
600028,2012/2/28,7.7,51889212,12.26937,9.85591,1
600028,2012/2/29,7.62,40094017,12.141896,9.753511,1
600028,2012/3/1,7.57,32951812,12.062224,9.689511,1
600028,2012/3/2,7.65,43803021,12.189698,9.791911,1
600028,2012/3/5,7.57,30433385,12.062224,9.689511,1
600028,2012/3/6,7.45,52321959,11.871013,9.535913,1
600028,2012/3/7,7.43,34941770,11.839145,9.510313,1
600028,2012/3/8,7.49,26100103,11.93475,9.587112,1
600028,2012/3/9,7.54,31919500,12.014422,9.651112,1
600028,2012/3/12,7.48,27094454,11.918816,9.574313,1
600028,2012/3/13,7.55,32869203,12.030356,9.663912,1
600028,2012/3/14,7.51,89584050,11.966619,9.612712,1
600028,2012/3/15,7.56,75249158,12.04629,9.676712,1
600028,2012/3/16,7.66,43496558,12.205633,9.80471,1
600028,2012/3/19,7.64,33657436,12.173765,9.77911,1
600028,2012/3/20,7.6,48261842,12.110028,9.72791,1
600028,2012/3/21,7.52,26103245,11.982554,9.625511,1
600028,2012/3/22,7.45,17973996,11.871014,9.535912,1
600028,2012/3/23,7.43,19908149,11.839146,9.510312,1
600028,2012/3/26,7.44,10433271,11.85508,9.523112,1
600028,2012/3/27,7.45,19517779,11.871014,9.535912,1
600028,2012/3/28,7.25,29348535,11.552329,9.279914,1
600028,2012/3/29,7.13,33876887,11.361118,9.126315,1
600028,2012/3/30,7.19,17889436,11.456723,9.203114,1
600028,2012/4/5,7.2,36890614,11.472657,9.215914,1
600028,2012/4/6,7.18,37695915,11.440789,9.190314,1
600028,2012/4/9,7.14,17191949,11.377052,9.139115,1
600028,2012/4/10,7.17,21055125,11.424855,9.177515,1
600028,2012/4/11,7.17,19112776,11.424855,9.177515,1
600028,2012/4/12,7.27,37672180,11.584197,9.305514,1
600028,2012/4/13,7.27,18880600,11.584197,9.305514,1
600028,2012/4/16,7.27,13543257,11.584197,9.305514,1
600028,2012/4/17,7.23,15600448,11.52046,9.254314,1
600028,2012/4/18,7.29,33920635,11.616065,9.331113,1
600028,2012/4/19,7.23,37060768,11.52046,9.254314,1
600028,2012/4/20,7.35,55123206,11.711671,9.407913,1
600028,2012/4/23,7.27,27771383,11.584197,9.305514,1
600028,2012/4/24,7.29,56362264,11.616065,9.331113,1
600028,2012/4/25,7.28,41721836,11.600131,9.318313,1
600028,2012/4/26,7.28,26793212,11.600131,9.318313,1
600028,2012/4/27,7.18,38577664,11.440789,9.190314,1
600028,2012/5/2,7.34,57816119,11.695737,9.395112,1
600028,2012/5/3,7.33,18782670,11.679803,9.382312,1
600028,2012/5/4,7.27,40500651,11.584198,9.305513,1
600028,2012/5/7,7.29,44020299,11.616066,9.331113,1
600028,2012/5/8,7.25,42491919,11.552329,9.279913,1
600028,2012/5/9,7.11,50422992,11.32925,9.100715,1
600028,2012/5/10,7.12,33037955,11.345184,9.113515,1
600028,2012/5/14,7.04,51140335,11.21771,9.011116,1
600028,2012/5/15,7,22815282,11.153973,8.959916,1
600028,2012/5/16,6.94,37420573,11.058368,8.883117,1
600028,2012/5/17,7.03,20889051,11.201776,8.998316,1
600028,2012/5/18,6.92,24699288,11.026499,8.857517,1
600028,2012/5/21,6.98,25821767,11.122104,8.934316,1
600028,2012/5/22,7.01,23398089,11.169907,8.972716,1
600028,2012/5/23,6.99,21444230,11.138039,8.947116,1
600028,2012/5/24,6.96,20359222,11.090236,8.908716,1
600028,2012/5/25,6.99,15476493,11.138039,8.947116,1
600028,2012/5/28,6.78,31228771,11.1221,8.678318,1
600028,2012/5/29,6.79,52462656,11.138504,8.691118,1
600028,2012/5/30,6.77,28297826,11.105695,8.665518,1
600028,2012/5/31,6.68,27294237,10.958057,8.550319,1
600028,2012/6/1,6.7,21567396,10.990866,8.575919,1
600028,2012/6/4,6.49,43257741,10.646376,8.307122,1
600028,2012/6/5,6.5,18639597,10.66278,8.319922,1
600028,2012/6/6,6.5,16894893,10.66278,8.319922,1
600028,2012/6/7,6.48,18810753,10.629971,8.294322,1
600028,2012/6/8,6.45,14081621,10.580758,8.255922,1
600028,2012/6/11,6.52,27850995,10.695588,8.345521,1
600028,2012/6/12,6.48,16428352,10.629971,8.294321,1
