Stkcd	Trddt	Clsprc	Attention
600000	2011/1/4	12.61	12117
600000	2011/1/5	12.71	12209
600000	2011/1/6	12.67	10929
600000	2011/1/7	13.23	11567
600000	2011/1/10	13.07	13310
600000	2011/1/11	13.4	12587
600000	2011/1/12	13.49	11690
600000	2011/1/13	13.34	10920
600000	2011/1/14	13.14	10703
600000	2011/1/17	12.61	11820
600000	2011/1/18	12.69	11134
600000	2011/1/19	12.82	10778
600000	2011/1/20	12.48	11207
600000	2011/1/21	12.75	10601
600000	2011/1/24	12.74	11167
600000	2011/1/25	12.87	11296
600000	2011/1/26	12.88	11522
600000	2011/1/27	12.83	11577
600000	2011/1/28	12.69	12237
600000	2011/1/31	12.72	9964
600000	2011/2/1	12.76	7767
600000	2011/2/9	12.63	11462
600000	2011/2/10	12.77	11981
600000	2011/2/11	12.75	11129
600000	2011/2/14	13.14	11388
600000	2011/2/15	13.03	12423
600000	2011/2/16	12.96	11381
600000	2011/2/17	13.08	10211
600000	2011/2/18	13.04	10584
600000	2011/2/21	13.01	12001
600000	2011/2/22	12.65	11179
600000	2011/2/23	12.61	10978
600000	2011/2/24	12.6	11091
600000	2011/2/25	12.65	10850
600000	2011/2/28	12.71	12933
600000	2011/3/1	12.95	12586
600000	2011/3/2	13.18	11648
600000	2011/3/3	13.45	11720
600000	2011/3/4	13.56	11517
600000	2011/3/7	13.61	12514
600000	2011/3/8	13.63	11137
600000	2011/3/9	13.61	11281
600000	2011/3/10	13.24	12115
600000	2011/3/11	13.1	10831
600000	2011/3/14	13.12	11400
600000	2011/3/15	12.91	12186
600000	2011/3/16	13.01	11409
600000	2011/3/17	12.86	10359
600000	2011/3/18	12.9	10444
600000	2011/3/21	12.94	11390
600000	2011/3/22	13.18	11027
600000	2011/3/23	13.28	10554
600000	2011/3/24	13.18	10329
600000	2011/3/25	13.4	10501
600000	2011/3/28	13.44	12027
600000	2011/3/29	13.62	11883
600000	2011/3/30	13.85	11979
600000	2011/3/31	13.62	11827
